subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_exp1,allfails-ten-Mutants,63.77,81.34,97.2,100.0
zlib_ng_exp1,ten-Mutants,49.48,75.02,96.88,100.0
zlib_ng_exp1,five-Mutants,55.58,77.71,96.75,100.0
zlib_ng_exp1,three-Mutants,55.63,77.49,96.69,100.0
zlib_ng_exp1,one-mutants,52.9,76.36,96.75,100.0
zlib_ng_exp1,zero-Mutants,44.03,71.77,96.75,100.0
libxml2_exp1,allfails-ten-Mutants,83.25,91.3,93.75,97.67
libxml2_exp1,ten-Mutants,85.8,93.85,92.8,97.16
libxml2_exp1,five-Mutants,84.46,92.94,91.81,94.7
libxml2_exp1,three-Mutants,86.28,93.59,84.14,90.73
libxml2_exp1,one-mutants,84.5,92.81,77.8,90.13
libxml2_exp1,zero-Mutants,64.46,85.11,71.12,86.64
opencv_features2d_exp1,allfails-ten-Mutants,80.69,91.52,83.71,94.83
opencv_features2d_exp1,ten-Mutants,67.27,84.42,73.28,89.27
opencv_features2d_exp1,five-Mutants,66.88,84.03,62.67,76.77
opencv_features2d_exp1,three-Mutants,66.84,84.59,58.62,75.17
opencv_features2d_exp1,one-mutants,65.32,83.25,52.97,73.32
opencv_features2d_exp1,zero-Mutants,51.17,76.49,46.94,69.66
opencv_imgproc_exp1,allfails-ten-Mutants,78.61,90.39,74.01,86.85
opencv_imgproc_exp1,ten-Mutants,42.34,70.61,42.54,60.39
opencv_imgproc_exp1,five-Mutants,39.09,65.5,38.06,56.34
opencv_imgproc_exp1,three-Mutants,38.66,65.11,36.77,55.82
opencv_imgproc_exp1,one-mutants,39.83,66.84,37.89,57.16
opencv_imgproc_exp1,zero-Mutants,35.76,65.45,39.4,64.05
opencv_core_exp1,allfails-ten-Mutants,79.74,91.26,61.64,68.19
opencv_core_exp1,ten-Mutants,78.18,90.0,53.79,61.68
opencv_core_exp1,five-Mutants,76.62,90.0,54.53,62.41
opencv_core_exp1,three-Mutants,74.46,89.0,51.64,59.61
opencv_core_exp1,one-mutants,63.55,83.2,41.51,49.61
opencv_core_exp1,zero-Mutants,57.62,81.0,39.48,49.7
jsoncpp_exp1,allfails-ten-Mutants,81.99,91.86,94.83,99.78
jsoncpp_exp1,ten-Mutants,86.15,94.55,95.47,100.0
jsoncpp_exp1,five-Mutants,85.19,94.03,92.72,99.48
jsoncpp_exp1,three-Mutants,83.38,92.55,88.58,98.41
jsoncpp_exp1,one-mutants,78.4,90.95,84.27,96.94
jsoncpp_exp1,zero-Mutants,67.49,86.58,81.9,96.55
